입국자국가,국가코드,입국연월,입국자 수
중국,112,201001,91252
중국,112,201002,140571
중국,112,201003,141457
중국,112,201004,147680
중국,112,201005,154066
중국,112,201006,150119
중국,112,201007,195188
중국,112,201008,241987
중국,112,201009,176196
중국,112,201010,181428
중국,112,201011,136152
중국,112,201012,119061
중국,112,201101,113927
중국,112,201102,157019
중국,112,201103,163261
중국,112,201104,153875
중국,112,201105,152347
중국,112,201106,179508
중국,112,201107,244573
중국,112,201108,276299
중국,112,201109,231462
중국,112,201110,214681
중국,112,201111,174164
중국,112,201112,159080
중국,112,201201,167022
중국,112,201202,173790
중국,112,201203,183691
중국,112,201204,222114
중국,112,201205,210439
중국,112,201206,234482
중국,112,201207,322917
중국,112,201208,359065
중국,112,201209,283402
중국,112,201210,279440
중국,112,201211,204533
중국,112,201212,195997
중국,112,201301,196371
중국,112,201302,249698
중국,112,201303,276479
중국,112,201304,335069
중국,112,201305,278723
중국,112,201306,399031
중국,112,201307,569787
중국,112,201308,642258
중국,112,201309,483518
중국,112,201310,343273
중국,112,201311,276428
중국,112,201312,276234
중국,112,201401,296708
중국,112,201402,326295
중국,112,201403,423768
중국,112,201404,531947
중국,112,201405,517031
중국,112,201406,573852
중국,112,201407,692053
중국,112,201408,757683
중국,112,201409,564078
중국,112,201410,562278
중국,112,201411,460671
중국,112,201412,420501
중국,112,201501,394345
중국,112,201502,516787
중국,112,201503,515130
중국,112,201504,641610
중국,112,201505,618083
중국,112,201506,315095
중국,112,201507,255632
중국,112,201508,513275
중국,112,201509,591242
중국,112,201510,650174
중국,112,201511,507579
중국,112,201512,465218
